Train Acc.	Valid Acc.	
86.806000	94.460000	
83.462000	94.640000	
79.474000	94.510000	
81.828000	94.770000	
81.634000	94.480000	
79.284000	94.610000	
84.742000	94.710000	
81.098000	94.700000	
82.646000	94.530000	
81.674000	94.630000	
81.758000	94.710000	
81.284000	94.690000	
82.414000	94.780000	
86.070000	94.750000	
83.976000	94.600000	
83.708000	94.740000	
84.796000	94.590000	
85.292000	94.700000	
84.528000	94.490000	
82.522000	94.600000	
83.506000	94.820000	
81.154000	94.780000	
81.824000	94.690000	
79.624000	94.810000	
83.204000	94.730000	
81.210000	94.600000	
82.714000	94.820000	
81.660000	94.770000	
81.424000	94.640000	
83.576000	94.710000	
80.740000	94.760000	
82.464000	94.800000	
79.966000	94.780000	
79.106000	94.730000	
83.846000	94.680000	
83.294000	94.640000	
83.960000	94.770000	
84.830000	94.630000	
83.314000	94.740000	
82.422000	94.740000	
83.364000	94.590000	
83.096000	94.650000	
79.970000	94.820000	
81.142000	94.700000	
83.844000	94.720000	
84.734000	94.720000	
82.504000	94.640000	
83.734000	94.700000	
85.216000	94.770000	
80.820000	94.690000	
82.366000	94.680000	
83.122000	94.670000	
78.626000	94.660000	
87.566000	94.700000	
84.172000	94.700000	
82.646000	94.870000	
81.312000	94.750000	
81.018000	94.830000	
86.210000	94.700000	
79.416000	94.660000	
84.198000	94.770000	
84.696000	94.680000	
84.634000	94.810000	
83.262000	94.740000	
80.378000	94.780000	
80.818000	94.990000	
81.362000	95.060000	
82.254000	94.910000	
82.516000	94.960000	
82.186000	94.940000	
81.502000	94.930000	
81.478000	94.940000	
81.406000	94.970000	
81.478000	94.960000	
79.012000	95.010000	
82.432000	94.880000	
79.882000	94.840000	
80.724000	95.030000	
84.796000	94.890000	
80.424000	95.010000	
81.904000	94.780000	
84.372000	95.000000	
84.016000	94.940000	
81.268000	95.020000	
77.382000	95.010000	
83.658000	94.960000	
80.588000	94.950000	
81.706000	95.020000	
80.950000	94.840000	
80.132000	94.950000	
81.778000	94.860000	
81.396000	94.820000	
83.452000	94.890000	
80.158000	95.050000	
84.504000	94.940000	
80.914000	95.070000	
80.114000	94.950000	
79.546000	94.730000	
81.504000	94.990000	
81.188000	94.830000	
79.920000	94.900000	
79.184000	94.940000	
82.442000	94.920000	
79.262000	95.000000	
83.220000	94.930000	
83.164000	94.970000	
78.190000	94.920000	
81.324000	94.920000	
77.862000	94.960000	
78.008000	94.900000	
82.766000	94.950000	
78.588000	94.960000	
82.346000	94.980000	
77.754000	94.920000	
81.046000	94.910000	
81.208000	95.110000	
80.878000	94.990000	
81.380000	95.070000	
80.744000	94.980000	
80.652000	94.980000	
82.380000	94.930000	
79.982000	94.910000	
83.146000	94.950000	
82.238000	94.980000	
81.316000	94.930000	
82.640000	94.990000	
78.622000	94.870000	
79.916000	94.880000	
79.646000	94.900000	
82.958000	94.960000	
82.138000	94.950000	
81.958000	94.970000	
82.868000	95.020000	
80.702000	95.060000	
81.236000	94.950000	
78.392000	94.910000	
80.050000	94.900000	
78.410000	94.900000	
80.092000	94.870000	
82.416000	94.990000	
82.976000	94.900000	
83.690000	94.910000	
79.320000	94.910000	
80.106000	94.850000	
82.426000	94.870000	
80.704000	94.880000	
77.242000	94.960000	
80.674000	94.900000	
81.544000	94.880000	
81.030000	94.890000	
84.790000	95.020000	
80.306000	94.970000	
83.936000	94.970000	
79.626000	94.950000	
79.036000	94.940000	
82.328000	94.930000	
83.748000	95.080000	
79.878000	95.050000	
82.392000	94.950000	
81.750000	95.080000	
82.972000	95.080000	
79.920000	95.030000	
83.714000	95.000000	
80.508000	95.010000	
82.158000	94.990000	
81.602000	94.960000	
80.874000	95.020000	
79.100000	94.890000	
79.422000	94.940000	
81.692000	94.990000	
84.060000	94.970000	
78.652000	95.030000	
78.046000	94.910000	
80.816000	94.940000	
80.640000	94.920000	
80.350000	94.940000	
